"zcta","state","sduni20","stab","ZIPName","uschlnm20","hus20","afact"
"ZIP census tabulation area","State code","Unified school district (2020)","State abbr.","ZIP Code name","Unified school district name 2020","Total housing units (2020 Census)","zcta-to-sduni20 allocation factor"
"06001","09","00120","CT","Avon, CT","Avon School District",7713,0.9744 
"06001","09","00330","CT","Avon, CT","Bloomfield School District",1,0.0001 
"06001","09","01560","CT","Avon, CT","Farmington School District",199,0.0251 
"06001","09","04110","CT","Avon, CT","Simsbury School District",3,0.0004 
"06002","09","00330","CT","Bloomfield, CT","Bloomfield School District",9716,0.9982 
"06002","09","05220","CT","Bloomfield, CT","Windsor School District",18,0.0018 
"06010","09","00510","CT","Bristol, CT","Bristol School District",27215,0.9999 
"06010","09","04230","CT","Bristol, CT","Southington School District",3,0.0001 
"06013","09","03520","CT","Burlington, CT","Regional School District 10",3628,1 
"06016","09","01350","CT","Broad Brook, CT","East Windsor School District",2932,1 
"06018","09","99999","CT","Canaan, CT","[not in any district]",1297,1 
"06019","09","00690","CT","Canton, CT","Canton School District",4261,1 
"06020","09","00690","CT","Canton Center, CT (PO boxes)","Canton School District",12,1 
"06021","09","99999","CT","Colebrook, CT","[not in any district]",694,1 
"06022","09","00690","CT","Collinsville, CT (PO boxes)","Canton School District",58,1 
"06023","09","00210","CT","East Berlin, CT","Berlin School District",583,1 
"06024","09","99999","CT","East Canaan, CT","[not in any district]",285,1 
"06026","09","01170","CT","East Granby, CT","East Granby School District",2177,1 
"06027","09","99999","CT","East Hartland, CT","[not in any district]",578,1 
"06029","09","01440","CT","Ellington, CT","Ellington School District",7032,0.9999 
"06029","09","04560","CT","Ellington, CT","Tolland School District",1,0.0001 
"06031","09","99999","CT","Falls Village, CT","[not in any district]",799,1 
"06032","09","01560","CT","Farmington, CT","Farmington School District",8383,1 
"06033","09","01620","CT","Glastonbury, CT","Glastonbury School District",12315,1 
"06035","09","01170","CT","Granby, CT","East Granby School District",6,0.0019 
"06035","09","01680","CT","Granby, CT","Granby School District",3109,0.9981 
"06037","09","00210","CT","Berlin, CT","Berlin School District",7985,0.9961 
"06037","09","03840","CT","Berlin, CT","Rocky Hill School District",31,0.0039 
"06039","09","99999","CT","Lakeville, CT","[not in any district]",1298,1 
"06040","09","02310","CT","Manchester, CT","Manchester School District",15559,1 
"06042","09","02310","CT","Manchester, CT","Manchester School District",10886,0.9998 
"06042","09","04170","CT","Manchester, CT","South Windsor School District",2,0.0002 
"06043","09","00360","CT","Bolton, CT","Bolton School District",2045,0.9985 
"06043","09","99999","CT","Bolton, CT","[not in any district]",3,0.0015 
"06051","09","02670","CT","New Britain, CT","New Britain School District",13514,1 
"06052","09","00210","CT","New Britain, CT","Berlin School District",3,0.0008 
"06052","09","02670","CT","New Britain, CT","New Britain School District",3598,0.9992 
"06053","09","01560","CT","New Britain, CT","Farmington School District",9,0.0006 
"06053","09","02670","CT","New Britain, CT","New Britain School District",14398,0.9993 
"06053","09","03300","CT","New Britain, CT","Plainville School District",1,0.0001 
"06057","09","99999","CT","New Hartford, CT","[not in any district]",2855,1 
"06058","09","03515","CT","Norfolk, CT","Regional School District 06",32,0.0332 
"06058","09","99999","CT","Norfolk, CT","[not in any district]",932,0.9668 
"06059","09","00690","CT","North Canton, CT (PO boxes)","Canton School District",52,1 
"06060","09","01680","CT","North Granby, CT","Granby School District",901,1 
"06061","09","99999","CT","Pine Meadow, CT (PO boxes)","[not in any district]",104,1 
"06062","09","00510","CT","Plainville, CT","Bristol School District",36,0.0045 
"06062","09","01560","CT","Plainville, CT","Farmington School District",2,0.0002 
"06062","09","03300","CT","Plainville, CT","Plainville School District",8044,0.9953 
"06063","09","99999","CT","Barkhamsted, CT","[not in any district]",1480,1 
"06065","09","99999","CT","Riverton, CT","[not in any district]",221,1 
"06066","09","01440","CT","Vernon Rockville, CT","Ellington School District",4,0.0003 
"06066","09","04680","CT","Vernon Rockville, CT","Vernon School District",14761,0.9997 
"06067","09","03840","CT","Rocky Hill, CT","Rocky Hill School District",9288,1 
"06068","09","99999","CT","Salisbury, CT","[not in any district]",993,1 
"06069","09","99999","CT","Sharon, CT","[not in any district]",1574,1 
"06070","09","04110","CT","Simsbury, CT","Simsbury School District",6321,1 
"06071","09","04140","CT","Somers, CT","Somers School District",3571,0.9928 
"06071","09","04290","CT","Somers, CT","Stafford School District",26,0.0072 
"06072","09","04140","CT","Somersville, CT (PO boxes)","Somers School District",51,1 
"06073","09","01620","CT","South Glastonbury, CT","Glastonbury School District",2166,1 
"06074","09","04170","CT","South Windsor, CT","South Windsor School District",10802,1 
"06076","09","01440","CT","Stafford Springs, CT","Ellington School District",4,0.0007 
"06076","09","04290","CT","Stafford Springs, CT","Stafford School District",5211,0.9357 
"06076","09","99999","CT","Stafford Springs, CT","[not in any district]",354,0.0636 
"06078","09","04470","CT","Suffield, CT","Suffield School District",4431,1 
"06079","09","99999","CT","Taconic, CT (PO boxes)","[not in any district]",93,1 
"06080","09","04470","CT","Suffield, CT","Suffield School District",1,1 
"06081","09","04110","CT","Tariffville, CT","Simsbury School District",671,1 
"06082","09","01470","CT","Enfield, CT","Enfield School District",17741,1 
"06084","09","01440","CT","Tolland, CT","Ellington School District",14,0.0025 
"06084","09","04560","CT","Tolland, CT","Tolland School District",5629,0.9975 
"06085","09","01560","CT","Unionville, CT","Farmington School District",3033,1 
"06088","09","01350","CT","East Windsor, CT","East Windsor School District",2416,1 
"06089","09","04110","CT","Weatogue, CT","Simsbury School District",1691,1 
"06090","09","01680","CT","West Granby, CT","Granby School District",438,1 
"06091","09","99999","CT","West Hartland, CT","[not in any district]",113,1 
"06092","09","04110","CT","West Simsbury, CT","Simsbury School District",1371,1 
"06093","09","04470","CT","West Suffield, CT","Suffield School District",1447,1 
"06095","09","01920","CT","Windsor, CT","Hartford School District",13,0.0011 
"06095","09","05220","CT","Windsor, CT","Windsor School District",12020,0.9989 
"06096","09","05250","CT","Windsor Locks, CT","Windsor Locks School District",5815,1 
"06098","09","05160","CT","Winsted, CT","Winchester School District",5353,0.9968 
"06098","09","99999","CT","Winsted, CT","[not in any district]",17,0.0032 
"06103","09","01920","CT","Hartford, CT","Hartford School District",2102,1 
"06105","09","01920","CT","Hartford, CT","Hartford School District",10797,0.9738 
"06105","09","04920","CT","Hartford, CT","West Hartford School District",291,0.0262 
"06106","09","01920","CT","Hartford, CT","Hartford School District",16088,1 
"06107","09","01560","CT","West Hartford, CT","Farmington School District",41,0.0051 
"06107","09","04920","CT","West Hartford, CT","West Hartford School District",7930,0.9949 
"06108","09","01260","CT","East Hartford, CT","East Hartford School District",9889,1 
"06109","09","05070","CT","Wethersfield, CT","Wethersfield School District",11809,1 
"06110","09","01920","CT","West Hartford, CT","Hartford School District",29,0.0052 
"06110","09","04920","CT","West Hartford, CT","West Hartford School District",5526,0.9948 
"06111","09","02880","CT","Newington, CT","Newington School District",13219,1 
"06112","09","01920","CT","Hartford, CT","Hartford School District",8611,1 
"06114","09","01920","CT","Hartford, CT","Hartford School District",10741,1 
"06117","09","04920","CT","West Hartford, CT","West Hartford School District",6301,1 
"06118","09","01260","CT","East Hartford, CT","East Hartford School District",11472,1 
"06119","09","04920","CT","West Hartford, CT","West Hartford School District",7192,1 
"06120","09","01920","CT","Hartford, CT","Hartford School District",4878,1 
"06226","09","05190","CT","Willimantic, CT","Windham School District",7213,0.9711 
"06226","09","99999","CT","Willimantic, CT","[not in any district]",215,0.0289 
"06231","09","99999","CT","Amston, CT","[not in any district]",1582,1 
"06232","09","99999","CT","Andover, CT","[not in any district]",1321,1 
"06234","09","99999","CT","Brooklyn, CT","[not in any district]",3354,1 
"06235","09","99999","CT","Chaplin, CT","[not in any district]",932,1 
"06237","09","99999","CT","Columbia, CT","[not in any district]",2294,1 
"06238","09","00960","CT","Coventry, CT","Coventry School District",5273,1 
"06239","09","02070","CT","Danielson, CT","Killingly School District",4654,0.9376 
"06239","09","03270","CT","Danielson, CT","Plainfield School District",310,0.0624 
"06241","09","02070","CT","Dayville, CT","Killingly School District",3000,1 
"06242","09","99999","CT","Eastford, CT","[not in any district]",670,1 
"06243","09","02070","CT","East Killingly, CT","Killingly School District",84,1 
"06247","09","99999","CT","Hampton, CT","[not in any district]",1128,1 
"06248","09","99999","CT","Hebron, CT","[not in any district]",2036,1 
"06249","09","02130","CT","Lebanon, CT","Lebanon School District",3147,1 
"06250","09","99999","CT","Mansfield Center, CT","[not in any district]",2180,1 
"06254","09","99999","CT","North Franklin, CT","[not in any district]",790,1 
"06255","09","04530","CT","North Grosvenordale, CT","Thompson School District",2100,1 
"06256","09","05190","CT","North Windham, CT","Windham School District",1025,0.9903 
"06256","09","99999","CT","North Windham, CT","[not in any district]",10,0.0097 
"06258","09","99999","CT","Pomfret, CT (PO boxes)","[not in any district]",1,1 
"06259","09","99999","CT","Pomfret Center, CT","[not in any district]",1789,1 
"06260","09","02070","CT","Putnam, CT","Killingly School District",11,0.0026 
"06260","09","03480","CT","Putnam, CT","Putnam School District",4284,0.9974 
"06262","09","04530","CT","Quinebaug, CT","Thompson School District",285,1 
"06263","09","02070","CT","Rogers, CT (PO boxes)","Killingly School District",135,1 
"06264","09","99999","CT","Scotland, CT","[not in any district]",51,1 
"06266","09","05190","CT","South Windham, CT","Windham School District",182,1 
"06268","09","99999","CT","Storrs Mansfield, CT","[not in any district]",4367,1 
"06269","09","99999","CT","Storrs Mansfield, CT","[not in any district]",217,1 
"06277","09","03480","CT","Thompson, CT","Putnam School District",8,0.0045 
"06277","09","04530","CT","Thompson, CT","Thompson School District",1752,0.9955 
"06278","09","99999","CT","Ashford, CT","[not in any district]",1966,1 
"06279","09","99999","CT","Willington, CT","[not in any district]",2685,1 
"06280","09","05190","CT","Windham, CT","Windham School District",1243,0.9262 
"06280","09","99999","CT","Windham, CT","[not in any district]",99,0.0738 
"06281","09","04530","CT","Woodstock, CT","Thompson School District",6,0.0019 
"06281","09","99999","CT","Woodstock, CT","[not in any district]",3086,0.9981 
"06282","09","99999","CT","Woodstock Valley, CT","[not in any district]",583,1 
"06320","09","02820","CT","New London, CT","New London School District",12119,0.9996 
"06320","09","04860","CT","New London, CT","Waterford School District",5,0.0004 
"06330","09","99999","CT","Baltic, CT","[not in any district]",1350,1 
"06331","09","01740","CT","Canterbury, CT","Griswold School District",3,0.0015 
"06331","09","99999","CT","Canterbury, CT","[not in any district]",2055,0.9985 
"06332","09","03270","CT","Central Village, CT (PO boxes)","Plainfield School District",268,1 
"06333","09","01320","CT","East Lyme, CT","East Lyme School District",2912,1 
"06334","09","99999","CT","Bozrah, CT","[not in any district]",1097,1 
"06335","09","02160","CT","Gales Ferry, CT","Ledyard School District",2685,1 
"06336","09","99999","CT","Gilman, CT","[not in any district]",34,1 
"06338","09","02160","CT","Mashantucket, CT (PO boxes)","Ledyard School District",110,1 
"06339","09","02160","CT","Ledyard, CT","Ledyard School District",3348,0.9973 
"06339","09","99999","CT","Ledyard, CT","[not in any district]",9,0.0027 
"06340","09","01770","CT","Groton, CT","Groton School District",14131,0.9995 
"06340","09","02160","CT","Groton, CT","Ledyard School District",7,0.0005 
"06350","09","99999","CT","Hanover, CT (PO boxes)","[not in any district]",59,1 
"06351","09","01740","CT","Jewett City, CT","Griswold School District",5024,0.7433 
"06351","09","99999","CT","Jewett City, CT","[not in any district]",1735,0.2567 
"06353","09","02580","CT","Montville, CT","Montville School District",98,1 
"06354","09","03270","CT","Moosup, CT","Plainfield School District",2194,0.9157 
"06354","09","99999","CT","Moosup, CT","[not in any district]",202,0.0843 
"06355","09","01770","CT","Mystic, CT","Groton School District",4023,0.653 
"06355","09","04380","CT","Mystic, CT","Stonington School District",2138,0.347 
"06357","09","01320","CT","Niantic, CT","East Lyme School District",6168,1 
"06359","09","03060","CT","North Stonington, CT","North Stonington School District",2226,1 
"06360","09","03120","CT","Norwich, CT","Norwich School District",17177,1 
"06365","09","99999","CT","Preston, CT","[not in any district]",2040,1 
"06370","09","02580","CT","Oakdale, CT","Montville School District",2905,1 
"06371","09","03540","CT","Old Lyme, CT","Regional School District 18",6069,1 
"06373","09","99999","CT","Oneco, CT (PO boxes)","[not in any district]",117,1 
"06374","09","03270","CT","Plainfield, CT","Plainfield School District",3356,1 
"06375","09","02580","CT","Quaker Hill, CT","Montville School District",11,0.007 
